bloomfilter.raw: 514
collection.raw: 100001
profile.bin: 16777217
docAddresses: 213
DocNum	TermNum	ProfOffset	Score
1		92		1			62074186
1		110		1			62074186
1		123		1			62074186
1		213		1			62074186
1		226		1			62074186
1		267		1			62074186
1		293		1			62074186
1		366		1			62074186
1		393		1			62074186
1		397		1			62074186
1		404		1			62074186
2		30		2			62601230
2		36		1			62074186
2		58		1			62074186
2		111		1			62074186
2		136		1			62074186
2		250		1			62074186
2		342		1			62074186
2		354		1			62074186
2		395		1			62074186
2		522		2			62601230
2		535		1			62074186
2		539		2			62601230
2		542		2			62601230
2		553		1			62074186
2		562		1			62074186
2		566		2			62601230
2		599		1			62074186
2		603		2			62601230
2		605		1			62074186
2		608		2			62601230
2		617		1			62074186
2		620		2			62601230
2		645		1			62074186
2		670		2			62601230
2		688		1			62074186
2		698		1			62074186
2		715		1			62074186
2		719		2			62601230
2		738		1			62074186
2		746		2			62601230
2		750		1			62074186
2		755		1			62074186
2		757		2			62601230
2		766		2			62601230
2		835		1			62074186
2		839		1			62074186
3		480		1			62074186
3		606		1			62074186
3		957		1			62074186
5		90		1			62074186
5		171		2			62601230
5		228		1			62074186
5		239		1			62074186
5		290		1			62074186
5		296		1			62074186
5		301		2			62601230
5		321		1			62074186
5		490		1			62074186
5		539		1			62074186
5		543		1			62074186
5		631		1			62074186
5		656		1			62074186
5		659		1			62074186
6		209		1			62074186
6		456		1			62074186
6		459		1			62074186
6		464		1			62074186
6		468		1			62074186
6		483		1			62074186
6		495		1			62074186
6		499		1			62074186
6		600		1			62074186
7		366		1			62074186
8		130		2			62601230
8		232		1			62074186
8		326		1			62074186
8		329		1			62074186
8		387		1			62074186
8		493		1			62074186
8		502		1			62074186
8		514		1			62074186
9		49		1			62074186
9		350		1			62074186
9		489		1			62074186
9		501		1			62074186
9		514		1			62074186
9		526		1			62074186
10		273		1			62074186
10		395		3			62456542
10		451		2			62601230
10		489		2			62601230
10		714		1			62074186
10		722		1			62074186
11		30		1			62074186
11		40		1			62074186
11		159		1			62074186
11		168		1			62074186
11		182		1			62074186
11		241		2			62601230
12		331		1			62074186
12		413		1			62074186
12		417		1			62074186
12		446		1			62074186
12		456		1			62074186
14		36		2			62601230
14		94		1			62074186
14		141		2			62601230
14		264		1			62074186
14		266		1			62074186
14		268		1			62074186
14		345		1			62074186
14		457		1			62074186
15		436		1			62074186
15		747		1			62074186
15		795		2			62601230
16		6		2			62601230
16		89		2			62601230
16		154		3			62456542
16		169		1			62074186
16		211		2			62601230
16		297		2			62601230
16		299		0			62756646
16		393		2			62601230
16		501		2			62601230
16		504		0			62756646
16		575		0			62756646
16		580		2			62601230
17		233		1			62074186
17		237		1			62074186
17		243		1			62074186
17		245		1			62074186
18		128		2			62601230
18		228		1			62074186
18		282		1			62074186
19		232		2			62601230
19		312		1			62074186
20		197		1			62074186
20		316		1			62074186
20		323		1			62074186
20		412		1			62074186
20		423		1			62074186
20		514		1			62074186
21		98		2			62601230
21		303		1			62074186
22		43		3			62456542
22		60		1			62074186
22		80		2			62601230
24		130		1			62074186
26		23		1			62074186
26		145		1			62074186
27		33		2			62601230
27		152		1			62074186
27		183		3			62456542
27		214		1			62074186
27		400		1			62074186
27		562		2			62601230
27		617		1			62074186
27		643		1			62074186
28		414		2			62601230
29		99		2			62601230
30		49		3			62456542
30		71		1			62074186
30		78		1			62074186
30		85		1			62074186
30		123		1			62074186
30		236		1			62074186
30		243		1			62074186
30		440		1			62074186
30		560		1			62074186
31		113		1			62074186
31		162		2			62601230
31		191		1			62074186
31		272		1			62074186
31		303		2			62601230
31		309		2			62601230
31		331		2			62601230
31		388		1			62074186
31		441		2			62601230
31		464		2			62601230
31		485		0			62756646
31		490		2			62601230
32		9		2			62601230
32		41		2			62601230
32		109		1			62074186
32		470		1			62074186
32		531		3			62456542
32		554		1			62074186
32		574		1			62074186
32		636		2			62601230
32		656		3			62456542
32		666		2			62601230
32		746		1			62074186
32		808		1			62074186
32		815		1			62074186
32		824		1			62074186
33		293		1			62074186
33		314		1			62074186
34		29		1			62074186
34		37		1			62074186
34		50		1			62074186
34		149		1			62074186
34		325		1			62074186
34		337		1			62074186
34		349		1			62074186
35		176		1			62074186
35		309		1			62074186
36		153		1			62074186
36		275		1			62074186
36		431		1			62074186
36		491		1			62074186
37		58		2			62601230
37		76		2			62601230
37		103		2			62601230
37		137		1			62074186
37		138		2			62601230
37		182		2			62601230
37		252		2			62601230
37		344		1			62074186
37		370		1			62074186
37		371		2			62601230
37		388		3			62456542
37		401		1			62074186
37		434		2			62601230
37		603		2			62601230
37		624		2			62601230
38		112		3			62456542
39		84		1			62074186
39		245		3			62456542
39		299		1			62074186
40		87		1			62074186
40		151		1			62074186
41		121		2			62601230
41		221		1			62074186
41		275		1			62074186
42		759		1			62074186
42		1061		1			62074186
44		143		1			62074186
44		155		1			62074186
44		226		2			62601230
44		229		3			62456542
44		297		2			62601230
45		125		1			62074186
45		174		1			62074186
45		205		1			62074186
45		287		1			62074186
45		292		1			62074186
45		307		1			62074186
45		367		1			62074186
45		467		1			62074186
46		282		3			62456542
47		305		1			62074186
47		482		3			62456542
47		652		1			62074186
50		50		1			62074186
51		101		1			62074186
51		202		2			62601230
52		20		1			62074186
52		103		1			62074186
52		129		1			62074186
52		153		1			62074186
52		325		3			62456542
54		49		3			62456542
54		110		3			62456542
54		242		1			62074186
54		364		1			62074186
54		366		1			62074186
55		169		1			62074186
56		101		1			62074186
56		124		1			62074186
56		134		1			62074186
56		472		1			62074186
56		476		1			62074186
56		478		1			62074186
56		672		1			62074186
56		698		1			62074186
56		715		1			62074186
56		722		1			62074186
56		728		1			62074186
57		165		2			62601230
57		192		2			62601230
57		414		1			62074186
57		596		3			62456542
58		42		1			62074186
58		74		1			62074186
58		192		1			62074186
58		309		1			62074186
58		321		1			62074186
59		104		2			62601230
59		214		1			62074186
59		262		1			62074186
59		551		3			62456542
59		623		2			62601230
59		631		2			62601230
60		314		1			62074186
60		343		1			62074186
62		68		1			62074186
62		80		1			62074186
62		86		1			62074186
63		222		1			62074186
63		297		1			62074186
63		369		2			62601230
64		26		2			62601230
64		142		1			62074186
65		48		1			62074186
65		274		1			62074186
65		361		3			62456542
67		62		1			62074186
67		66		1			62074186
67		133		1			62074186
67		153		1			62074186
67		156		1			62074186
67		164		1			62074186
67		179		1			62074186
67		187		1			62074186
67		260		1			62074186
67		264		1			62074186
67		303		1			62074186
67		311		1			62074186
67		497		1			62074186
67		537		1			62074186
67		585		1			62074186
67		605		1			62074186
67		618		1			62074186
67		625		1			62074186
68		122		2			62601230
68		170		1			62074186
68		179		1			62074186
68		210		1			62074186
68		463		1			62074186
68		482		1			62074186
68		514		1			62074186
69		185		1			62074186
70		232		1			62074186
70		250		1			62074186
70		285		1			62074186
70		512		1			62074186
70		537		1			62074186
70		544		1			62074186
70		607		2			62601230
72		162		3			62456542
72		325		1			62074186
74		14		3			62456542
74		179		1			62074186
74		184		2			62601230
74		394		2			62601230
74		447		1			62074186
74		516		2			62601230
74		770		1			62074186
76		130		1			62074186
76		135		1			62074186
76		144		1			62074186
76		159		1			62074186
76		211		1			62074186
76		215		1			62074186
76		226		1			62074186
76		234		1			62074186
76		245		1			62074186
76		351		1			62074186
76		365		1			62074186
76		367		1			62074186
76		378		1			62074186
76		380		1			62074186
76		392		1			62074186
76		430		1			62074186
76		487		1			62074186
77		253		2			62601230
77		269		1			62074186
77		287		3			62456542
77		296		1			62074186
77		372		1			62074186
77		378		1			62074186
77		533		1			62074186
77		627		1			62074186
78		41		1			62074186
78		287		2			62601230
78		445		1			62074186
78		482		1			62074186
79		45		2			62601230
79		52		2			62601230
79		203		1			62074186
80		103		1			62074186
80		157		1			62074186
80		218		3			62456542
80		630		1			62074186
80		737		3			62456542
80		794		3			62456542
82		157		1			62074186
82		170		1			62074186
82		343		2			62601230
82		504		1			62074186
84		62		1			62074186
84		73		2			62601230
84		223		2			62601230
86		354		1			62074186
86		392		1			62074186
87		150		1			62074186
88		339		1			62074186
88		368		1			62074186
88		383		1			62074186
